Noise_HU,Uniformity_HU,Scaling_V_mm,HU_Precision,RUL_Tube,RUL_Gantry,RUL_Table,RUL_Generator
15.5906,0.0,329.5868,1.3065,1074,1825,1815,2555
17.2154,1.4835,331.2204,0.5839,1069,1825,1796,2537
15.5141,2.5634,330.3139,1.7781,1069,1782,1819,2532
14.6531,2.4968,328.8269,0.2716,1095,1789,1798,2537
14.0967,1.2257,330.4484,0.7609,1091,1825,1805,2551
10.5644,1.1387,331.4292,1.1481,1095,1825,1788,2555
12.8405,1.7813,325.9001,1.2337,1095,1816,1715,2555
13.6181,0.901,332.3181,0.9598,1094,1825,1773,2555
18.1714,1.6811,329.3275,0.977,1056,1813,1808,2540
16.0309,1.9596,330.851,1.1642,1061,1810,1803,2539
9.7109,2.2362,332.3945,0.9076,1095,1804,1770,2555
15.9723,1.4399,327.2567,1.5573,1069,1825,1759,2548
13.8448,1.3778,328.5811,1.3357,1092,1825,1784,2555
12.9692,0.9732,329.4229,1.3491,1093,1825,1810,2555
16.835,1.0039,328.4325,0.6135,1072,1825,1784,2548
18.093,1.3641,333.4699,0.9682,1051,1825,1730,2547
17.7938,1.7204,328.2865,0.8798,1061,1818,1779,2529
12.4823,2.0482,328.8889,0.5978,1095,1810,1796,2555
14.0724,1.0181,330.4088,1.1441,1092,1825,1814,2555
15.9938,2.3956,327.5957,0.7849,1086,1785,1757,2532
17.9266,1.3373,329.2086,1.2622,1050,1825,1811,2550
13.5625,1.4872,330.6349,0.5719,1095,1818,1809,2555
14.443,1.0517,329.3343,1.6876,1079,1825,1809,2555
11.681,0.0455,329.8132,0.6415,1095,1825,1822,2555
11.4114,2.0304,328.9413,1.0877,1095,1808,1795,2555
17.4376,1.9421,326.9711,1.3167,1052,1809,1752,2545
19.0687,1.3312,330.6432,0.7717,1041,1823,1807,2531
14.784,1.5402,333.5099,1.341,1073,1822,1733,2555
18.0106,1.8096,330.0368,0.5083,1063,1806,1825,2537
16.0849,0.5625,330.4505,1.5808,1065,1825,1821,2555
13.0646,1.1826,331.3854,1.0057,1095,1825,1794,2555
16.0842,1.9766,327.4613,0.7614,1076,1801,1766,2531
19.6141,0.7474,333.405,0.8803,1028,1825,1737,2544
14.8925,1.6761,330.4047,1.3236,1077,1815,1807,2546
19.6939,0.6861,333.2637,0.7662,1039,1825,1751,2550
7.1408,1.7799,328.5339,0.7003,1095,1810,1799,2555
17.4657,1.4786,333.6361,0.9114,1053,1819,1742,2545
15.2611,0.5309,331.5503,0.5292,1078,1825,1785,2555
14.103,2.1988,331.1061,1.7282,1074,1797,1792,2543
15.2753,1.0592,330.468,0.7734,1074,1825,1808,2555
9.0373,1.0138,329.5029,1.3326,1095,1825,1804,2555
14.341,1.6203,332.4011,1.0838,1093,1825,1764,2550
16.0713,2.1892,330.2807,0.6062,1077,1801,1825,2550
19.4337,0.8905,326.0659,0.9976,1042,1825,1726,2543
13.4452,1.537,327.7656,1.3136,1092,1825,1771,2551
12.5745,1.7573,329.6283,0.9247,1095,1818,1823,2555
13.4947,1.9159,330.62,1.4772,1086,1804,1807,2548
17.7462,1.6059,329.8868,1.4086,1045,1816,1825,2543
15.9863,1.2798,332.4379,1.3676,1057,1825,1774,2555
13.4107,1.0034,326.0978,0.8161,1095,1825,1727,2555
16.5398,1.5517,330.2872,0.5681,1071,1824,1815,2544
15.2912,0.8567,326.364,0.7546,1084,1825,1738,2555
17.9059,0.0,331.5194,1.0785,1050,1825,1785,2555
12.8938,1.7619,329.8111,1.2183,1095,1811,1814,2555
14.017,2.0424,330.8392,0.1314,1095,1803,1810,2553
13.8237,0.0822,328.2722,0.9968,1092,1825,1788,2555
10.6095,0.8942,332.5589,1.0632,1095,1825,1762,2555
15.8884,1.8715,332.0834,0.889,1067,1802,1767,2546
15.7832,2.7345,331.1671,1.5165,1065,1770,1790,2531
15.0153,1.5125,329.741,1.1687,1078,1825,1819,2555
14.2962,1.0632,331.1597,1.5241,1076,1825,1794,2555
10.7539,1.3903,328.5862,0.9136,1095,1825,1788,2555
13.7381,2.3249,331.7111,1.375,1088,1789,1787,2541
13.9719,1.1124,333.299,1.654,1075,1825,1746,2555
12.5932,1.0205,332.1412,1.5247,1095,1825,1778,2555
14.5161,1.2104,328.5408,0.5631,1087,1825,1784,2555
16.2122,0.928,330.7228,0.8985,1075,1825,1805,2551
20.6586,1.5736,327.4137,0.8619,1037,1818,1764,2528
15.5237,2.4748,331.1448,1.1957,1068,1783,1799,2532
15.7727,1.6938,330.9012,1.2745,1071,1815,1810,2553
14.7767,1.3486,326.2604,0.6644,1084,1825,1734,2555
9.2437,1.3249,327.6764,1.0271,1095,1825,1776,2555
14.9205,0.5621,329.4337,0.192,1087,1825,1814,2555
15.1807,2.0299,329.3983,1.5768,1072,1800,1815,2550
22.3897,1.4533,327.581,0.7951,1005,1825,1763,2516
14.4229,1.3917,330.778,1.0223,1084,1825,1806,2555
15.9046,3.4159,330.5029,0.8761,1068,1743,1817,2514
14.8959,1.6793,329.6115,1.4584,1078,1819,1823,2554
11.494,1.0489,328.4884,0.0,1095,1825,1791,2555
18.4285,1.2442,332.0974,0.9934,1049,1825,1772,2549
17.2558,2.1891,333.3108,0.9577,1056,1799,1749,2520
17.3731,1.568,329.0329,0.8185,1058,1818,1790,2540
12.2718,0.637,328.7757,1.6905,1095,1825,1787,2555
19.2084,2.0515,330.9824,0.6451,1039,1799,1804,2525
10.7944,1.0991,329.2839,1.3087,1095,1825,1807,2555
16.7606,2.624,329.7212,1.1425,1068,1794,1821,2530
21.5714,2.148,331.4793,1.5046,1003,1803,1788,2508
12.0284,1.2316,326.1813,0.7331,1095,1825,1732,2555
13.3011,2.2686,332.6366,0.7068,1095,1797,1755,2545
15.299,1.5407,330.1454,1.4384,1066,1815,1824,2555
13.4896,2.0117,329.177,1.1701,1085,1807,1809,2555
10.348,1.7908,329.8215,0.382,1095,1819,1825,2555
15.2057,0.9922,329.9249,0.7843,1078,1825,1825,2555
11.8131,1.1139,326.5376,1.1546,1095,1825,1740,2555
16.4208,2.118,332.9899,1.3351,1061,1804,1752,2528
12.2417,1.2991,330.0827,0.7283,1095,1825,1815,2555
19.6498,1.2578,330.886,0.0,1043,1825,1800,2531
12.6502,0.9269,331.9031,1.2093,1095,1825,1776,2555
14.0338,1.7542,327.9577,0.5119,1094,1813,1779,2549
17.4406,2.7375,330.9469,0.1931,1068,1783,1798,2516
11.3074,0.8595,329.4647,0.0,1095,1825,1816,2555
15.6824,1.5145,331.6935,1.3256,1066,1814,1783,2553
18.9214,2.3473,325.7455,1.0514,1040,1792,1718,2515
10.1776,1.4522,329.8018,0.9097,1095,1825,1821,2555
15.5539,1.7714,328.7944,1.5556,1070,1814,1793,2546
15.7796,0.8626,330.8645,1.2549,1071,1825,1801,2555
17.3455,1.757,330.9401,1.6465,1046,1812,1793,2539
11.2891,1.3877,328.5847,0.4429,1095,1820,1788,2555
11.0386,2.0914,328.5757,0.9862,1095,1812,1787,2555
16.5658,2.2124,329.7787,0.3533,1067,1792,1817,2531
15.891,3.0537,328.2067,0.9082,1074,1758,1782,2512
15.7515,1.8478,331.684,0.9006,1083,1817,1786,2543
16.0393,1.6955,329.2616,1.2506,1061,1815,1808,2547
12.9599,1.6166,324.186,1.0182,1095,1820,1685,2555
15.6968,1.2881,329.2504,1.2494,1065,1825,1809,2547
15.8792,1.7031,327.9229,1.2814,1071,1822,1772,2542
12.8569,1.3228,326.7374,1.862,1091,1825,1741,2555
20.5973,1.6011,327.5251,0.8739,1025,1825,1765,2532
16.4215,2.2906,330.2188,0.6236,1067,1783,1822,2528
11.4261,0.8961,332.6573,1.0984,1095,1825,1766,2555
16.9697,2.1839,330.6264,0.6791,1057,1793,1815,2526
12.076,2.2903,328.787,1.5928,1095,1800,1792,2555
17.3613,1.4292,330.9118,0.8867,1062,1825,1802,2546
18.4758,0.2269,329.0818,0.7738,1042,1825,1805,2555
12.538,1.1353,328.6108,0.8115,1095,1825,1796,2555
17.8901,2.2782,327.6913,1.2874,1055,1798,1772,2528
16.2383,1.4863,326.4963,0.9369,1066,1825,1737,2549
17.4662,0.9004,329.2202,0.7433,1065,1825,1799,2555
20.6904,1.1971,330.3161,1.6661,1012,1825,1812,2537
14.2638,2.0044,329.8068,0.6575,1092,1805,1822,2549
12.7388,1.828,329.1681,1.0142,1095,1812,1806,2555
12.3315,1.3566,328.1085,1.2609,1095,1825,1772,2555
12.5526,1.2799,331.2165,0.3475,1095,1824,1795,2555
14.7687,1.2649,327.3657,1.1921,1078,1825,1762,2555
16.0235,0.9466,331.5521,0.578,1069,1825,1780,2555
15.8301,2.4692,327.9956,1.3291,1068,1782,1780,2524
17.4815,1.3066,328.4951,0.6149,1060,1825,1785,2544
15.039,2.2303,327.0664,1.2771,1075,1795,1758,2546
19.3606,2.4128,328.9972,1.4423,1024,1770,1797,2516
14.206,2.099,331.9506,1.3446,1091,1798,1771,2544
23.1605,1.241,331.0313,1.1005,1001,1825,1797,2523
16.877,1.7422,331.9568,0.9075,1067,1818,1776,2537
12.4285,1.4855,331.0443,0.7694,1095,1822,1797,2555
11.7873,0.9578,327.7927,1.5884,1095,1825,1769,2555
16.4474,1.6946,329.3384,0.7202,1079,1825,1810,2548
14.3296,0.7926,328.4396,0.5852,1093,1825,1785,2555
17.142,2.2126,332.6611,1.2661,1051,1801,1758,2526
16.4197,1.2212,327.6064,0.6815,1073,1825,1757,2545
14.7815,1.6207,331.7874,0.62,1094,1823,1782,2552
12.4596,1.67,331.7859,0.4226,1095,1817,1780,2555
10.4555,1.3447,333.6592,0.8068,1095,1825,1742,2555
13.6605,1.852,329.1806,0.9669,1095,1813,1800,2552
17.5692,1.2151,331.4246,1.0972,1047,1825,1780,2552
15.6423,2.0228,334.5633,1.3805,1065,1812,1714,2547
11.2628,0.6924,328.7647,1.2108,1095,1825,1796,2555
15.5195,1.5758,326.9299,0.9237,1062,1825,1743,2554
16.156,2.6634,326.24,0.9207,1069,1786,1723,2521
12.3484,0.8998,331.4254,1.2041,1095,1825,1797,2555
15.4612,1.0934,326.2337,1.509,1065,1825,1738,2555
15.1746,1.8083,329.2554,1.0505,1076,1815,1794,2551
11.5711,1.6077,330.8746,0.8123,1095,1825,1801,2555
16.0734,1.7104,330.3704,0.6029,1072,1821,1824,2543
16.6824,1.7935,330.8509,0.4219,1066,1808,1801,2544
18.2492,1.8808,330.4446,1.2665,1055,1806,1811,2529
18.1614,2.1658,332.5577,1.2312,1054,1803,1760,2532
10.867,1.7459,328.0954,1.2309,1095,1811,1772,2555
12.1865,1.3552,328.646,0.9485,1095,1825,1783,2555
16.5451,1.9035,328.4547,1.5628,1054,1817,1792,2539
16.5414,2.6399,331.6604,0.8064,1068,1779,1774,2520
16.5451,1.4204,331.8008,1.3821,1059,1825,1781,2548
26.5582,0.9153,330.9025,0.9845,961,1825,1807,2506
16.7127,2.1642,332.367,0.7567,1071,1800,1759,2539
18.4067,1.4278,327.6439,1.237,1043,1821,1761,2550
17.862,0.1964,333.3344,1.1639,1047,1825,1748,2555
16.9542,2.0085,333.0465,1.1428,1052,1806,1752,2525
14.0542,1.1788,331.4712,1.0325,1085,1825,1785,2555
17.2769,1.4457,333.5636,0.9848,1049,1825,1742,2537
12.6815,1.6992,326.6868,1.9553,1089,1813,1748,2555
14.2895,1.6143,328.9511,1.4737,1074,1825,1800,2555
13.5439,1.9257,328.5294,1.2891,1089,1806,1784,2555
15.2456,1.2387,331.443,1.0447,1084,1825,1787,2555
21.944,1.8079,327.8997,1.4029,1011,1812,1774,2513
9.3982,1.3443,331.515,1.2072,1095,1825,1786,2555
17.0588,1.9433,332.7411,1.0105,1059,1808,1761,2536
10.1619,1.8692,331.3904,0.8786,1095,1810,1783,2555
13.5842,0.9387,330.5675,0.9676,1095,1825,1803,2555
18.2669,2.1516,328.0243,0.0,1061,1792,1777,2522
15.1928,1.1784,328.3063,1.0842,1070,1825,1780,2555
11.7668,1.9848,332.4992,0.8046,1095,1798,1759,2554
12.8541,1.7204,331.5587,1.6371,1095,1818,1777,2550
17.0388,2.6029,329.922,1.0077,1056,1782,1823,2517
12.8089,1.3659,329.1642,0.5244,1095,1825,1804,2555
15.6494,1.2904,325.9484,0.98,1072,1825,1727,2555
15.1367,1.4883,327.8583,0.5816,1084,1823,1772,2552
13.0452,1.3181,333.8228,1.1894,1084,1825,1729,2555
21.4318,1.98,327.4391,1.1164,1013,1806,1767,2508
16.9018,0.5302,330.379,1.3831,1060,1825,1809,2549
8.9246,0.8678,332.0149,0.6836,1095,1825,1777,2555
15.5594,0.8593,327.4902,1.0136,1074,1825,1754,2555
13.0146,2.0702,330.3694,0.454,1095,1803,1812,2551
17.5573,2.5264,331.8758,1.2806,1052,1787,1772,2514
12.6224,1.4373,330.025,1.2075,1095,1825,1825,2555
14.6558,1.3987,335.7368,1.1983,1076,1825,1681,2555
16.515,1.542,326.6628,1.0006,1072,1820,1742,2542
17.5973,2.1971,332.1175,1.1659,1056,1800,1767,2526
11.3991,0.9436,329.6544,1.6417,1095,1825,1815,2555
13.9965,1.643,331.5438,0.886,1094,1815,1783,2555
13.5752,2.0851,330.8826,1.0555,1095,1809,1805,2550
13.04,1.8007,328.5337,0.5655,1095,1814,1783,2554
20.2964,1.6137,330.458,0.6527,1024,1824,1820,2517
16.2149,2.1006,326.2842,1.0391,1072,1808,1724,2536
11.2173,0.0,331.2065,1.4416,1095,1825,1791,2555
17.7536,1.9067,330.5963,0.8975,1052,1810,1818,2539
21.3665,1.1076,331.2773,0.9056,1031,1825,1791,2520
18.0974,0.4016,332.1162,0.8372,1053,1825,1766,2555
10.4419,1.8067,330.7352,0.7861,1095,1813,1808,2555
13.5473,2.3242,330.2962,1.118,1082,1793,1815,2546
18.8007,1.4175,328.2379,0.4011,1058,1824,1777,2537
12.877,2.0717,328.5756,1.5124,1087,1814,1784,2554
16.3315,2.4674,332.3735,0.7338,1066,1779,1780,2531
17.3239,2.2889,332.8727,1.2888,1051,1787,1752,2523
12.2192,2.484,329.5238,0.492,1095,1792,1803,2554
14.8214,1.9453,330.092,1.2675,1082,1811,1825,2549
5.2762,1.5453,328.1908,1.2688,1095,1818,1783,2555
11.9268,0.5388,332.3455,1.1537,1095,1825,1763,2555
14.2423,1.3524,331.3308,0.6022,1091,1825,1787,2555
11.2567,0.9941,333.8824,1.0998,1095,1825,1731,2555
19.8972,2.8026,328.2434,0.5268,1038,1786,1780,2489
10.7096,1.3945,329.244,0.8989,1095,1821,1796,2555
13.6799,1.5739,330.4629,1.4118,1092,1825,1822,2555
15.3922,1.8309,331.293,1.3187,1074,1818,1791,2555
19.3238,1.5262,329.5687,1.0061,1035,1825,1822,2539
10.6924,2.517,328.2541,0.6101,1095,1783,1788,2555
18.4895,1.1264,331.7628,1.2582,1041,1825,1776,2549
15.0307,1.6168,331.4423,1.0078,1074,1823,1794,2555
12.0555,1.0545,328.1675,0.0719,1095,1825,1776,2555
16.3863,0.708,332.7109,1.3131,1062,1825,1748,2555
15.5972,1.1329,332.3404,0.9903,1079,1825,1764,2551
13.1993,1.4778,330.2686,1.481,1090,1821,1820,2555
15.2094,1.2424,330.1592,0.5619,1078,1825,1819,2555
13.8441,1.0845,331.1081,0.0,1095,1825,1796,2555
15.3406,0.6562,328.2766,1.1116,1075,1825,1788,2555
16.9864,1.4501,330.0601,1.1166,1059,1825,1824,2538
19.7581,0.5972,325.6952,0.3237,1047,1825,1713,2546
11.2866,1.956,331.7529,0.6086,1095,1820,1785,2555
21.3991,1.5495,326.877,2.1021,997,1824,1748,2530
9.1437,0.6255,333.0068,0.8778,1095,1825,1737,2555
14.5446,1.3145,329.3398,1.2924,1075,1825,1811,2555
16.765,1.0487,329.5767,0.7397,1070,1825,1816,2555
15.843,1.6915,328.7445,0.1639,1091,1817,1794,2538
13.1319,2.3043,329.4239,0.9319,1095,1798,1815,2546
14.3756,0.3749,332.8371,0.8938,1087,1825,1751,2555
13.521,1.569,325.0244,0.84,1095,1818,1702,2555
13.2319,1.4039,332.5539,0.9541,1095,1824,1753,2555
17.5488,1.9028,330.676,1.1057,1055,1807,1810,2536
16.071,1.6279,327.586,0.94,1064,1820,1774,2551
12.9213,1.0488,327.8494,0.4944,1095,1825,1766,2555
17.6988,1.3086,333.3528,1.1945,1045,1825,1737,2536
15.9219,1.0224,328.109,0.2203,1077,1825,1774,2555
17.4386,2.1456,327.6933,0.1799,1066,1800,1768,2530
16.8889,1.5128,332.2746,1.2957,1054,1815,1763,2551
12.513,2.6407,330.6771,1.2028,1095,1775,1810,2542
13.3195,1.4636,328.1241,0.977,1090,1823,1782,2555
17.2419,1.075,330.4332,0.4418,1071,1825,1817,2554
16.8311,0.5918,327.9485,0.7168,1072,1825,1765,2555
14.9373,0.4181,332.2016,0.8949,1072,1825,1775,2555
15.352,0.5495,332.1227,0.3616,1091,1825,1777,2555
18.833,1.6603,331.064,0.7044,1042,1821,1803,2530
13.2253,1.8052,330.7233,1.2609,1095,1821,1809,2555
16.6413,0.5513,333.5224,1.5709,1055,1825,1738,2555
14.3934,2.037,329.9994,0.8322,1089,1794,1825,2550
14.347,1.2102,327.6363,1.3026,1081,1825,1776,2555
18.2963,1.5881,330.8989,0.2344,1065,1821,1798,2538
17.4762,2.4673,334.1721,1.2638,1045,1787,1726,2523
17.4405,2.0381,327.9705,0.6784,1063,1801,1774,2533
18.9164,1.3389,329.2771,1.1229,1044,1825,1806,2536
15.063,0.9653,330.8329,0.9009,1084,1825,1796,2555
17.0459,0.2089,329.8922,1.5282,1063,1825,1821,2555
14.0692,1.0685,328.0354,0.6502,1092,1825,1771,2555
15.9725,1.3733,332.2437,1.251,1071,1825,1767,2553
14.6096,0.9077,334.6401,0.8882,1085,1825,1704,2555
15.291,1.4212,330.3923,0.9367,1084,1825,1813,2550
16.7855,1.5461,328.1919,0.9265,1063,1825,1778,2545
12.5453,1.3651,326.9021,0.6617,1095,1825,1748,2555
21.2772,1.11,330.516,0.9944,1024,1825,1804,2533
11.9819,1.6012,332.2078,0.9749,1095,1825,1763,2555
11.3574,1.7652,330.9503,1.0965,1095,1820,1803,2555
18.4743,0.8458,329.9952,1.0338,1042,1825,1821,2549
17.375,2.3466,328.8215,1.3192,1055,1790,1801,2528
16.8724,1.4408,327.8157,1.3694,1063,1825,1772,2544
16.885,1.5113,331.6695,0.5798,1068,1819,1786,2542
14.9633,1.9249,331.8275,1.3475,1082,1807,1786,2554
12.3082,1.6399,326.9085,0.5255,1095,1823,1746,2555
15.2274,2.0719,333.1797,1.2351,1072,1805,1743,2540
12.9685,1.6723,331.1481,1.2479,1095,1817,1801,2555
17.9254,1.1325,332.7992,0.2355,1062,1825,1758,2555
14.5588,1.7169,327.3157,1.0372,1084,1812,1757,2552
12.5235,0.8138,327.2684,0.8126,1095,1825,1764,2555
14.0358,1.5651,329.7021,0.6965,1092,1822,1816,2555
16.2388,1.4801,331.0056,1.5403,1060,1824,1800,2546
13.3088,1.3751,333.5927,0.7385,1095,1825,1735,2555
12.5333,1.4229,331.4122,0.6774,1095,1825,1785,2555
15.7311,0.3709,329.5146,1.0303,1072,1825,1813,2555
15.7349,1.1708,327.9473,1.2742,1068,1825,1781,2554
13.4792,1.5557,332.46,0.9433,1095,1821,1766,2555
13.5869,1.5959,328.0706,1.4665,1087,1825,1777,2555
15.6961,0.8834,333.2569,1.2124,1070,1825,1743,2555
10.6557,2.2594,329.4312,0.1287,1095,1790,1812,2555
10.7776,0.9803,333.1812,0.7882,1095,1825,1749,2555
12.8447,2.0817,331.3579,0.7753,1095,1798,1794,2553
14.3597,1.7563,329.726,1.1917,1080,1813,1816,2550
15.9327,1.1123,328.9612,0.0,1095,1825,1801,2554
19.4261,2.5652,329.3182,2.0196,1015,1781,1810,2515
17.573,0.7838,330.8566,1.2124,1044,1825,1799,2555
14.5202,2.0515,330.1543,1.0596,1088,1806,1822,2544
14.943,2.1003,328.8124,1.4726,1063,1796,1785,2539
11.9924,1.0976,329.6687,1.9375,1095,1825,1819,2555
14.9445,2.3355,330.1572,1.3483,1086,1786,1824,2540
14.134,1.35,325.7425,1.3795,1075,1825,1722,2555
15.9682,1.6732,330.9163,1.0523,1060,1804,1800,2552
12.5183,1.6562,328.0406,0.9434,1095,1821,1778,2555
16.558,1.4194,327.6933,0.8097,1072,1825,1774,2548
19.5982,1.9865,326.6253,0.6696,1045,1806,1748,2516
14.6737,1.9761,326.4122,0.7252,1085,1799,1735,2547
16.2051,0.4509,327.2891,0.4598,1079,1825,1758,2555
17.0704,2.2826,328.582,0.9697,1067,1791,1795,2529
13.7963,0.5025,333.9065,0.3261,1095,1825,1720,2555
15.6723,2.1195,328.9482,1.0764,1071,1805,1797,2540
15.0378,2.176,330.3555,0.9855,1068,1802,1823,2537
15.293,0.8454,330.801,1.0588,1072,1825,1810,2555
12.681,1.2535,330.2621,0.7911,1095,1825,1820,2555
15.0735,0.8366,329.8451,2.2307,1060,1825,1814,2555
16.494,1.371,327.6094,1.544,1056,1825,1765,2552
19.3534,1.3152,332.9019,0.5022,1050,1825,1750,2540
17.8778,1.9678,333.6144,1.0931,1056,1802,1736,2534
21.4595,2.2862,326.6347,0.7568,1018,1808,1737,2514
12.698,2.3374,327.9519,0.5942,1095,1790,1769,2540
17.617,1.1627,329.4404,0.464,1064,1825,1801,2552
15.55,1.3745,328.0709,1.1729,1072,1825,1783,2555
21.5694,0.4899,331.0119,0.7274,1023,1825,1798,2536
12.5751,1.0165,328.5435,1.3871,1095,1825,1789,2555
12.4808,2.0789,334.3301,1.3975,1095,1795,1717,2552
13.2018,2.4693,332.3811,1.5496,1083,1785,1760,2541
8.6283,0.7594,330.4251,0.659,1095,1825,1808,2555
13.4227,1.1445,332.054,1.1901,1092,1825,1769,2555
12.7226,1.4842,332.2118,1.253,1095,1825,1766,2555
15.4512,1.6681,328.8721,0.8103,1085,1821,1799,2555
16.0253,1.0142,328.3676,0.6913,1074,1825,1780,2555
20.6285,1.7544,330.1563,1.6438,1007,1807,1825,2518
17.8513,1.2157,331.7233,1.091,1054,1825,1787,2553
13.2693,1.4913,330.2781,1.2544,1095,1824,1822,2555
12.3048,1.8278,326.846,0.6712,1095,1813,1746,2555
16.4758,1.5039,328.3944,0.5123,1073,1825,1792,2550
11.0393,1.2382,329.8521,0.7722,1095,1825,1820,2555
20.4944,1.4342,329.8487,0.9504,1022,1823,1821,2531
18.5383,1.447,333.9451,0.5743,1046,1817,1727,2537
13.5925,1.278,327.228,0.9961,1095,1825,1759,2555
9.8606,1.3447,331.0112,0.3246,1095,1825,1803,2555
19.0616,2.4592,332.9782,0.552,1040,1786,1748,2512
14.6564,1.8366,334.5429,1.2684,1084,1805,1709,2547
18.7134,1.3227,329.1912,1.2415,1032,1825,1808,2538
10.2167,1.9182,330.9829,0.8432,1095,1801,1804,2555
13.2019,1.2997,331.1395,0.5929,1095,1825,1795,2555
15.0157,2.2039,330.391,0.589,1084,1799,1807,2533
15.1409,1.7218,329.8023,0.8507,1083,1810,1819,2553
13.6498,1.4356,330.872,1.2578,1092,1825,1806,2555
16.8685,1.7686,324.9355,1.3713,1062,1814,1707,2532
11.7971,0.5575,331.3641,0.8014,1095,1825,1785,2555
14.5729,0.8239,330.2524,0.5386,1093,1825,1817,2555
15.3609,0.7836,329.5551,1.1071,1073,1825,1812,2555
16.5433,1.5858,334.0937,0.6706,1070,1825,1729,2542
17.1348,2.5395,328.6501,0.7927,1064,1785,1791,2523
11.6261,2.8388,329.1938,1.5301,1095,1774,1800,2547
10.3977,1.8828,333.9831,1.3308,1095,1809,1728,2555
18.833,1.8005,328.3359,1.0632,1042,1816,1781,2533
15.9969,0.4194,328.8998,0.4912,1079,1825,1791,2555
12.7545,1.1744,329.7059,1.0846,1095,1825,1813,2555
19.6535,1.0273,331.6815,1.4251,1021,1825,1792,2541
15.347,1.1275,330.4156,0.8497,1086,1825,1817,2555
18.5379,1.3991,327.4147,1.5404,1039,1825,1761,2534
15.2026,1.2167,328.9357,1.5171,1069,1825,1797,2555
21.1822,0.3124,328.7853,1.6655,1003,1825,1796,2555
20.266,1.9487,329.8456,1.1221,1021,1813,1823,2513
14.2531,0.8564,330.8517,1.235,1090,1825,1805,2555
17.9147,1.6435,330.8364,1.5657,1043,1825,1805,2536
16.9361,2.7444,326.448,1.179,1055,1774,1741,2521
19.1059,0.9484,332.1279,0.7995,1044,1825,1772,2540
12.1052,0.0,330.5051,0.8206,1095,1825,1807,2555
17.0582,1.3284,332.7691,1.0954,1065,1825,1753,2546
18.1753,2.1606,330.8884,0.4838,1063,1800,1793,2521
9.7238,2.675,332.2026,0.9427,1095,1771,1780,2555
11.4502,0.7623,330.9331,1.4386,1095,1825,1806,2555
8.8823,1.798,332.6925,0.1235,1095,1820,1754,2555
14.1918,1.2208,331.0445,1.6138,1071,1825,1797,2555
17.1526,1.4364,329.8042,1.4489,1045,1825,1817,2546
19.5071,3.0866,334.5449,0.8161,1038,1761,1719,2502
15.2223,0.5982,331.7781,1.2174,1073,1825,1773,2555
19.8858,1.6522,331.1475,1.0013,1024,1808,1797,2531
10.8597,1.7806,327.4474,1.492,1095,1825,1761,2555
9.8899,2.1515,327.4234,1.3931,1095,1806,1765,2555
